date,strategy_version,stage,match,team_a,team_b,play,selection,probability,raw_model_probability,odds,league_calibrated_probability,league_calibration_samples,market_probability,value_edge,expected_value,stake,expected_return,expected_profit,reason,legs_json
2026-07-17,value-v3,巴西甲,巴伊亚 vs 沙佩科,巴伊亚,沙佩科,观察单,胜,0.6913729911370561,0.7165712444307062,1.29,0.7165712444307062,0,0.6867385577872901,0.004634433349765987,0.8918711585668023,0,0.0,0.0,零金额观察单；保守概率69.1%，联赛校准概率71.7%，原模型71.7%，市场公平概率68.7%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-17,value-v3,美职联,纳什威尔 vs 亚特联,纳什威尔,亚特联,观察单,胜,0.6660954522932925,0.6960859124526879,1.34,0.6960859124526879,0,0.6605796418473139,0.005515810445978597,0.892567906073012,0,0.0,0.0,零金额观察单；保守概率66.6%，联赛校准概率69.6%，原模型69.6%，市场公平概率66.1%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-17,value-v3,巴西甲,弗鲁米嫩 vs 布拉干,弗鲁米嫩,布拉干,观察单,胜,0.5309122999598312,0.5684539685580552,1.69,0.5684539685580552,0,0.5240076800669391,0.00690461989289215,0.8972417869321148,0,0.0,0.0,零金额观察单；保守概率53.1%，联赛校准概率56.8%，原模型56.8%，市场公平概率52.4%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-17,value-v3,巴西甲,米拉索 vs 格雷米奥,米拉索,格雷米奥,观察单,胜,0.5187991222819716,0.5401163994335005,1.72,0.5401163994335005,0,0.5148784735367609,0.0039206487452106975,0.892334490324991,0,0.0,0.0,零金额观察单；保守概率51.9%，联赛校准概率54.0%，原模型54.0%，市场公平概率51.5%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-17,value-v3,瑞典超,米亚尔比 vs 瓦斯特拉,米亚尔比,瓦斯特拉,观察单,胜,0.5321129697157394,0.4333824114361984,1.61,0.4333824114361984,0,0.5502713788165409,-0.018158409100801465,0.8567018812423405,0,0.0,0.0,零金额观察单；保守概率53.2%，联赛校准概率43.3%，原模型43.3%，市场公平概率55.0%，仅用于概率校准和CLV，不计入盈亏,[]
