date,kickoff_local,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,match_num,match_id,pool_status
2026-07-11,周六099,世界杯,挪威,英格兰,false,竞彩网,3.92,3.45,1.71,周六099,2040459,
2026-07-11,周六100,世界杯,阿根廷,瑞士,false,竞彩网,1.58,3.25,5.30,周六100,2040467,
2026-07-11,周六210,瑞超,厄格里特,赫根,false,竞彩网,5.35,4.40,1.40,周六210,2040484,
2026-07-11,周六211,挪超,特罗姆瑟,瓦勒伦加,false,竞彩网,1.63,3.65,4.15,周六211,2040485,
