bet_id,date,report_date,strategy_version,model_version,locked_at_bjt,plan_sha256,row_payload_sha256,match_id,team_a,team_b,kickoff_local,play,market_type,market_line,selection,legs_json,canonical_legs_json,odds_source,odds_source_record_id,odds_captured_at_bjt,locked_odds,odds,raw_probability,calibrated_probability,official_market_probability,conservative_probability,edge,net_ev,full_kelly,kelly_fraction,data_quality_multiplier,volatility_multiplier,performance_multiplier,portfolio_rank,binding_limits,stake,data_quality,volatility_band,status,result_status,result_source,source_record_id,captured_at_bjt,score_scope,settlement_minutes,home_goals,away_goals,settled_at_bjt,return,profit,result_legs_json,clv,evidence_type,candidate_id,candidate_payload_sha256,t90_receipt_path,t90_receipt_sha256,t30_receipt_path,t30_receipt_sha256,live_odds_snapshot_path,live_odds_snapshot_sha256,final_confirmed_at_bjt,expected_value,league_calibrated_probability,league_calibration_samples,market_probability,match,probability,raw_model_probability,reason,stage,value_edge
,2026-07-15,,value-v3,,,,,,,,,观察单,,,负,[],,,,,,1.54,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8870959031233508,0.5836226816997432,0,0.5746975276170436,尼卡斯克 vs 图凯拉特,0.5760363007294486,0.5836226816997432,零金额观察单；保守概率57.6%，联赛校准概率58.4%，原模型58.4%，市场公平概率57.5%，仅用于概率校准和CLV，不计入盈亏,欧冠,0.001338773112404934
,2026-07-15,,value-v3,,,,,,,,,观察单,,,负,[],,,,,,2.87,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.9271346462423927,0.40524617752195297,0,0.30853706366845335,英格兰 vs 阿根廷,0.3230434307464783,0.40524617752195297,零金额观察单；保守概率32.3%，联赛校准概率40.5%，原模型40.5%，市场公平概率30.9%，仅用于概率校准和CLV，不计入盈亏,世界杯,0.01450636707802494
,2026-07-15,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,2.6,,,,,,,,,,,,,,0,,,未中,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.9050921127339946,0.3888361978013276,0,0.34092578986039673,阿特比森 vs 克拉克斯,0.3481123510515364,0.3888361978013276,零金额观察单；保守概率34.8%，联赛校准概率38.9%，原模型38.9%，市场公平概率34.1%，仅用于概率校准和CLV，不计入盈亏,欧冠,0.00718656119113964
,2026-07-16,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.33,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8957881245554448,0.7137418171624796,0,0.6664278036546042,费伦茨瓦 vs 伏伊伏丁,0.6735249056807855,0.7137418171624796,零金额观察单；保守概率67.4%，联赛校准概率71.4%，原模型71.4%，市场公平概率66.6%，仅用于概率校准和CLV，不计入盈亏,欧联,0.007097102026181301
,2026-07-16,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.3,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8901481207083168,0.7059073564499114,0,0.6809920237109358,圣路易斯 vs 堪萨斯城,0.6847293236217822,0.7059073564499114,零金额观察单；保守概率68.5%，联赛校准概率70.6%，原模型70.6%，市场公平概率68.1%，仅用于概率校准和CLV，不计入盈亏,美职联,0.00373729991084637
,2026-07-16,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.34,,,,,,,,,,,,,,0,,,未中,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.8906870411668742,0.6863063583327731,0,0.6608774917840095,西雅图 vs 波特兰,0.664691821766324,0.6863063583327731,零金额观察单；保守概率66.5%，联赛校准概率68.6%，原模型68.6%，市场公平概率66.1%，仅用于概率校准和CLV，不计入盈亏,美职联,0.003814329982314568
,2026-07-16,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.79,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8903191618013494,0.5105518802075626,0,0.4950614406609391,博塔弗戈 vs 桑托斯,0.4973850065929326,0.5105518802075626,零金额观察单；保守概率49.7%，联赛校准概率51.1%，原模型51.1%，市场公平概率49.5%，仅用于概率校准和CLV，不计入盈亏,巴西甲,0.00232356593199351
,2026-07-16,,value-v3,,,,,,,,,观察单,,,负,[],,,,,,1.64,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8769600789338334,0.5059873144575872,0,0.5398043038574369,德里城 vs 索非陆军,0.5347317554474594,0.5059873144575872,零金额观察单；保守概率53.5%，联赛校准概率50.6%，原模型50.6%，市场公平概率54.0%，仅用于概率校准和CLV，不计入盈亏,欧联,-0.0050725484099775064
,2026-07-17,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.29,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8918711585668023,0.7165712444307062,0,0.6867385577872901,巴伊亚 vs 沙佩科,0.6913729911370561,0.7165712444307062,零金额观察单；保守概率69.1%，联赛校准概率71.7%，原模型71.7%，市场公平概率68.7%，仅用于概率校准和CLV，不计入盈亏,巴西甲,0.004634433349765987
,2026-07-17,,value-v3,,,,,,,,,观察单,,,胜,[],,,,,,1.34,,,,,,,,,,,,,,0,,,命中,,,,,,,,,,,0.0,,,,,,,,,,,,,0.8926795739712678,0.6966223501251657,0,0.6605796418473139,纳什威尔 vs 亚特联,0.6661787865457223,0.6966223501251657,零金额观察单；保守概率66.6%，联赛校准概率69.7%，原模型69.7%，市场公平概率66.1%，仅用于概率校准和CLV，不计入盈亏,美职联,0.005599144698408387
